mês,ano,Favorecido,Tipo de Favorecido,UF do Favorecido,Município do Favorecido,Valor
1,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,65423710
2,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,40004027
3,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,60818413
4,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,30782467
5,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,78115429
6,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,44206588
7,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,73156206
8,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,48328465
9,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,89289776
10,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,84357614
11,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,39635223
12,2014,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,82615192
Mês,ano,Favorecido,Tipo de Favorecido,UF do Favorecido,Município do Favorecido,Valor Recebido     
1,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,51926520
2,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,24451267
3,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,38932675
4,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,32207003
5,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,105812224
6,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,49032982
7,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,67166290
8,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,64462970
9,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,19883853
10,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,83318272
11,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,73380111
12,2015,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,152349336
Mês,ano,Favorecido,Tipo de Favorecido,UF do Favorecido,Município do Favorecido,Valor Recebido     
1,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,189558733
2,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,47832440
3,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,61816158
4,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,153555926
5,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,78607596
6,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,47622870
7,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,145489015
8,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,153327875
9,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,81714882
10,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,131550335
11,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,47237214
12,2016,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,280160684
Mês,ano,Favorecido,Tipo de Favorecido,UF do Favorecido,Município do Favorecido,Valor Recebido     
1,2017,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,47719798
2,2017,SIG SOFTWARE & CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,Entidades Empresariais Privadas,RN,NATAL,58216811
